Accepted Symbol,Family Common Name,Common Name,Kingdom,Division,Class,Order,Family,Genus,Scientific Name,Duration,Growth Habit
ACGLG2,Maple family,Rocky Mountain maple,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer glabrum var. glabrum,Perennial,"Shrub, Tree"
ACGLN2,Maple family,New Mexico maple,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer glabrum var. neomexicanum,Perennial,"Shrub, Tree"
ACGR3,Maple family,bigtooth maple,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer grandidentatum,Perennial,"Shrub, Tree"
ACGRG,Maple family,bigtooth maple,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer grandidentatum var. grandidentatum,Perennial,"Shrub, Tree"
ACNEI2,Maple family,boxelder,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer negundo var. interius,Perennial,Tree
ACNEV,Maple family,boxelder,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,Acer,Acer negundo var. violaceum,Perennial,Tree
SEVE2,Fig-marigold family,verrucose seapurslane,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Sesuvium,Sesuvium verrucosum,"Annual, Perennial",Forb/herb
TRPO2,Fig-marigold family,desert horsepurslane,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Trianthema,Trianthema portulacastrum,"Annual, Perennial",Forb/herb
AMAR,Amaranth family,sandhill amaranth,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus arenicola,Annual,Forb/herb
AMWR,Amaranth family,Wright's amaranth,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus wrightii,Annual,Forb/herb
FRFL,Amaranth family,plains snakecotton,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Froelichia,Froelichia floridana,Annual,Forb/herb
FRFLC,Amaranth family,plains snakecotton,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Froelichia,Froelichia floridana var. campestris,Annual,Forb/herb
GUDE,Amaranth family,small matweed,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Guilleminea,Guilleminea densa,Perennial,Forb/herb
